"GEOID10","hra_id","s2t_fraction","isect_amount","tcoverage_amount","target_amount","hra_name","source_id","target_id","method","creation_date"
"53033030304",3,0.991800301442765,78570183.8525217,313806043.488552,314144107.413334,"Federal Way - Dash Point and Southern Rim","53033030304",3,"geographic overlap",2023-03-13
"53033030305",3,0.488313397798991,25330930.2834406,313806043.488552,314144107.413334,"Federal Way - Dash Point and Southern Rim","53033030305",3,"geographic overlap",2023-03-13
"53033030306",3,0.862418628249002,39987176.2314304,313806043.488552,314144107.413334,"Federal Way - Dash Point and Southern Rim","53033030306",3,"geographic overlap",2023-03-13
"53033030308",3,8.97050362675047e-14,2.08008081156079e-06,313806043.488552,314144107.413334,"Federal Way - Dash Point and Southern Rim","53033030308",3,"geographic overlap",2023-03-13
"53033030309",3,0.389778498151708,9321007.27935742,313806043.488552,314144107.413334,"Federal Way - Dash Point and Southern Rim","53033030309",3,"geographic overlap",2023-03-13
"53033030310",3,0.987838469194002,34086945.0100778,313806043.488552,314144107.413334,"Federal Way - Dash Point and Southern Rim","53033030310",3,"geographic overlap",2023-03-13
"53033030311",3,0.461381398618196,9458724.26206761,313806043.488552,314144107.413334,"Federal Way - Dash Point and Southern Rim","53033030311",3,"geographic overlap",2023-03-13
"53033030312",3,0.944390095170852,18860767.5849482,313806043.488552,314144107.413334,"Federal Way - Dash Point and Southern Rim","53033030312",3,"geographic overlap",2023-03-13
"53033030313",3,0.610448478778072,26300471.2862271,313806043.488552,314144107.413334,"Federal Way - Dash Point and Southern Rim","53033030313",3,"geographic overlap",2023-03-13
"53033030314",3,0.112450446888118,3030996.807573,313806043.488552,314144107.413334,"Federal Way - Dash Point and Southern Rim","53033030314",3,"geographic overlap",2023-03-13
"53033030401",3,0.390248405845662,52457531.9440286,313806043.488552,314144107.413334,"Federal Way - Dash Point and Southern Rim","53033030401",3,"geographic overlap",2023-03-13
"53033030403",3,0.365306476232635,15179006.7128075,313806043.488552,314144107.413334,"Federal Way - Dash Point and Southern Rim","53033030403",3,"geographic overlap",2023-03-13
"53033029700",4,0.0212104878539233,2573159.10665413,390562625.670255,390856001.169629,"Lakeland, Algona, Pacific, and Milton","53033029700",4,"geographic overlap",2023-03-13
"53033029801",4,0.47757155400834,41463743.1734497,390562625.670255,390856001.169629,"Lakeland, Algona, Pacific, and Milton","53033029801",4,"geographic overlap",2023-03-13
"53033029802",4,0.746339855872363,56486865.2751749,390562625.670255,390856001.169629,"Lakeland, Algona, Pacific, and Milton","53033029802",4,"geographic overlap",2023-03-13
"53033029901",4,0.9219423341276,40348976.8928518,390562625.670255,390856001.169629,"Lakeland, Algona, Pacific, and Milton","53033029901",4,"geographic overlap",2023-03-13
"53033029902",4,0.00291440907317192,197701.074943354,390562625.670255,390856001.169629,"Lakeland, Algona, Pacific, and Milton","53033029902",4,"geographic overlap",2023-03-13
"53033030304",4,0.00783515634723011,620699.221223868,390562625.670255,390856001.169629,"Lakeland, Algona, Pacific, and Milton","53033030304",4,"geographic overlap",2023-03-13
"53033030401",4,0.560301934371235,75316275.9419554,390562625.670255,390856001.169629,"Lakeland, Algona, Pacific, and Milton","53033030401",4,"geographic overlap",2023-03-13
"53033030403",4,0.634693252025213,26372412.6449081,390562625.670255,390856001.169629,"Lakeland, Algona, Pacific, and Milton","53033030403",4,"geographic overlap",2023-03-13
"53033030404",4,0.99903678504687,66739021.3358998,390562625.670255,390856001.169629,"Lakeland, Algona, Pacific, and Milton","53033030404",4,"geographic overlap",2023-03-13
"53033030501",4,0.0332746930237547,4080149.79855569,390562625.670255,390856001.169629,"Lakeland, Algona, Pacific, and Milton","53033030501",4,"geographic overlap",2023-03-13
"53033030801",4,0.00431030770080844,325243.132129486,390562625.670255,390856001.169629,"Lakeland, Algona, Pacific, and Milton","53033030801",4,"geographic overlap",2023-03-13
"53033030901",4,0.999857043844275,33597997.8469829,390562625.670255,390856001.169629,"Lakeland, Algona, Pacific, and Milton","53033030901",4,"geographic overlap",2023-03-13
"53033030902",4,0.996983659938986,42440380.2255261,390562625.670255,390856001.169629,"Lakeland, Algona, Pacific, and Milton","53033030902",4,"geographic overlap",2023-03-13
"53033031000",4,4.0686300364753e-17,5.58793544769287e-09,390562625.670255,390856001.169629,"Lakeland, Algona, Pacific, and Milton","53033031000",4,"geographic overlap",2023-03-13
"53033029601",5,0.112585376963164,4873383.20127924,457576336.178045,457576336.178017,"Auburn - North","53033029601",5,"geographic overlap",2023-03-13
"53033029602",5,0.94253919563268,68074335.0454256,457576336.178045,457576336.178017,"Auburn - North","53033029602",5,"geographic overlap",2023-03-13
"53033029700",5,0.0624429895683885,7575297.10590264,457576336.178045,457576336.178017,"Auburn - North","53033029700",5,"geographic overlap",2023-03-13
"53033029802",5,0.223286321496116,16899465.1175342,457576336.178045,457576336.178017,"Auburn - North","53033029802",5,"geographic overlap",2023-03-13
"53033029901",5,2.75629033069608e-14,1.2062955647707e-06,457576336.178045,457576336.178017,"Auburn - North","53033029901",5,"geographic overlap",2023-03-13
"53033029902",5,0.993220303800122,67375827.0671104,457576336.178045,457576336.178017,"Auburn - North","53033029902",5,"geographic overlap",2023-03-13
"53033030401",5,0.00203590904045415,273668.673401315,457576336.178045,457576336.178017,"Auburn - North","53033030401",5,"geographic overlap",2023-03-13
"53033030501",5,0.96672528295627,118540055.822509,457576336.178045,457576336.178017,"Auburn - North","53033030501",5,"geographic overlap",2023-03-13
"53033030503",5,0.958801450298722,34325546.506714,457576336.178045,457576336.178017,"Auburn - North","53033030503",5,"geographic overlap",2023-03-13
"53033030504",5,0.999999999999966,16868127.5357088,457576336.178045,457576336.178017,"Auburn - North","53033030504",5,"geographic overlap",2023-03-13
"53033030600",5,0.835733165849388,30848492.674823,457576336.178045,457576336.178017,"Auburn - North","53033030600",5,"geographic overlap",2023-03-13
"53033030700",5,1.04024562205406e-14,1.7508864402771e-07,457576336.178045,457576336.178017,"Auburn - North","53033030700",5,"geographic overlap",2023-03-13
"53033030801",5,0.000369116889896987,27852.4740517883,457576336.178045,457576336.178017,"Auburn - North","53033030801",5,"geographic overlap",2023-03-13
"53033031100",5,0.00177727149715441,142344.914366085,457576336.178045,457576336.178017,"Auburn - North","53033031100",5,"geographic overlap",2023-03-13
"53033031204",5,7.02957791520574e-08,28.3624270754281,457576336.178045,457576336.178017,"Auburn - North","53033031204",5,"geographic overlap",2023-03-13
"53033031205",5,0.976960873505063,61991995.8657839,457576336.178045,457576336.178017,"Auburn - North","53033031205",5,"geographic overlap",2023-03-13
"53033031206",5,0.741293924284635,29759910.3364999,457576336.178045,457576336.178017,"Auburn - North","53033031206",5,"geographic overlap",2023-03-13
"53033031704",5,8.83351834273707e-08,5.47450691131814,457576336.178045,457576336.178017,"Auburn - North","53033031704",5,"geographic overlap",2023-03-13
"53033030100",6,0.773463307175982,65143224.1393932,280827912.532082,281347775.99567,"Federal Way - Central","53033030100",6,"geographic overlap",2023-03-13
"53033030201",6,1.00000000000004,30911137.1413319,280827912.532082,281347775.99567,"Federal Way - Central","53033030201",6,"geographic overlap",2023-03-13
"53033030202",6,0.458631960924904,16154000.800111,280827912.532082,281347775.99567,"Federal Way - Central","53033030202",6,"geographic overlap",2023-03-13
"53033030305",6,0.511686602200972,26543399.5989987,280827912.532082,281347775.99567,"Federal Way - Central","53033030305",6,"geographic overlap",2023-03-13
