"GEOID20","hra20_id","hra20_name","region_id","region_name","creation_date"
"530330312025004",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330314001049",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330314001050",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312024002",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313011021",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313021002",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312025008",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312023008",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312025012",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330315012070",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313011026",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330316032004",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313011027",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312023016",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330315013017",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312025019",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330316033001",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330316033002",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312025009",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312025023",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312024003",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313011023",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312025026",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330316032015",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330316032016",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312023000",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330316032017",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330315013040",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330315021223",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313012016",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330316031041",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313012017",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313022015",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313022016",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330316033005",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312025000",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330315012069",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330314001017",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330314001018",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330314001019",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313012014",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312023018",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312041002",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330316052017",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313022014",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330317041030",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312024001",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313012018",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312023009",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312024004",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312025027",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313021007",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312025029",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312024011",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313022001",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313011016",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
