"hra_id","hra_name","GEOID20","census","version","reg_id","reg_nm"
1,"Enumclaw, Black Diamond, and Southeast King County","530330313011021",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330313021002",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330312025008",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330312023008",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330312025012",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330315012070",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330313011026",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330316032004",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330313011027",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330312023016",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330315013017",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330312025019",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330316033001",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330316033002",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330312025009",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330312025023",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330312024003",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330313011023",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330312025026",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330316032015",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330316032016",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330312023000",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330316032017",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330315013040",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330315021223",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330313012016",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330316031041",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330313012017",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330313022015",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330313022016",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330316033005",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330312025000",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330315012069",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330314001017",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330314001018",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330314001019",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330313012014",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330312023018",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330312041002",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330316052017",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330313022014",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330317041030",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330312024001",2020,5,4,"South"
1,"Enumclaw, Black Diamond, and Southeast King County","530330313012018",2020,5,4,"South"
