zip,zip_type,city,city_primary,multi_county,office_building,notes
98188,Standard,Seattle,SeaTac,NA,NA,NA
98189,PO Box,West Valley Business Park in Kent,Kent,NA,NA,NA
98190,PO Box,Seattle,Seattle,NA,NA,NA
98191,PO Box,Seattle,Seattle,NA,NA,NA
98194,PO Box,Seattle,Seattle,NA,NA,NA
98195,Unique,Seattle,Seattle,NA,building,Univ of WA; source: usps. Includes dorms
98198,Standard,Seattle,Des Moines,NA,NA,NA
98199,Standard,Seattle,Seattle,NA,NA,NA
98224,PO Box,Baring,Baring,NA,NA,NA
98288,PO Box,Skykomish,Skykomish,NA,NA,NA
