"geoid","name","tract","kccd","sea_ccd","uploaded"
"14000US53033032213","Census Tract 322.13, King County, Washington",32213,3,NA,2022-02-02
"14000US53033032214","Census Tract 322.14, King County, Washington",32214,3,NA,2022-02-02
"14000US53033032215","Census Tract 322.15, King County, Washington",32215,3,NA,2022-02-02
"14000US53033032307","Census Tract 323.07, King County, Washington",32307,3,NA,2022-02-02
"14000US53033032309","Census Tract 323.09, King County, Washington",32309,3,NA,2022-02-02
"14000US53033032311","Census Tract 323.11, King County, Washington",32311,3,NA,2022-02-02
"14000US53033032313","Census Tract 323.13, King County, Washington",32313,3,NA,2022-02-02
"14000US53033032315","Census Tract 323.15, King County, Washington",32315,3,NA,2022-02-02
"14000US53033032316","Census Tract 323.16, King County, Washington",32316,3,NA,2022-02-02
"14000US53033032317","Census Tract 323.17, King County, Washington",32317,3,NA,2022-02-02
"14000US53033032318","Census Tract 323.18, King County, Washington",32318,3,NA,2022-02-02
"14000US53033032319","Census Tract 323.19, King County, Washington",32319,1,NA,2022-02-02
"14000US53033032320","Census Tract 323.20, King County, Washington",32320,3,NA,2022-02-02
"14000US53033032321","Census Tract 323.21, King County, Washington",32321,3,NA,2022-02-02
"14000US53033032322","Census Tract 323.22, King County, Washington",32322,3,NA,2022-02-02
"14000US53033032323","Census Tract 323.23, King County, Washington",32323,3,NA,2022-02-02
"14000US53033032324","Census Tract 323.24, King County, Washington",32324,3,NA,2022-02-02
"14000US53033032325","Census Tract 323.25, King County, Washington",32325,3,NA,2022-02-02
"14000US53033032326","Census Tract 323.26, King County, Washington",32326,3,NA,2022-02-02
"14000US53033032327","Census Tract 323.27, King County, Washington",32327,3,NA,2022-02-02
"14000US53033032328","Census Tract 323.28, King County, Washington",32328,3,NA,2022-02-02
"14000US53033032329","Census Tract 323.29, King County, Washington",32329,3,NA,2022-02-02
"14000US53033032401","Census Tract 324.01, King County, Washington",32401,3,NA,2022-02-02
"14000US53033032402","Census Tract 324.02, King County, Washington",32402,3,NA,2022-02-02
"14000US53033032500","Census Tract 325, King County, Washington",32500,3,NA,2022-02-02
"14000US53033032601","Census Tract 326.01, King County, Washington",32601,3,NA,2022-02-02
"14000US53033032602","Census Tract 326.02, King County, Washington",32602,3,NA,2022-02-02
"14000US53033032702","Census Tract 327.02, King County, Washington",32702,3,NA,2022-02-02
"14000US53033032703","Census Tract 327.03, King County, Washington",32703,3,NA,2022-02-02
"14000US53033032704","Census Tract 327.04, King County, Washington",32704,3,NA,2022-02-02
"14000US53033032800","Census Tract 328, King County, Washington",32800,3,NA,2022-02-02
