"ZIP","hra_id","s2t_fraction","isect_amount","tcoverage_amount","target_amount","hra_name","source_id","target_id","method","creation_date"
98006,22,5.06484499651505e-05,2.106705581383,27396.2765381065,27396.2765381065,"Newcastle and Four Creeks",98006,22,"point population",2023-03-13
98027,22,0.243888506372688,7129.82328992375,27396.2765381065,27396.2765381065,"Newcastle and Four Creeks",98027,22,"point population",2023-03-13
98038,22,0.00674638021255848,251.384455662651,27396.2765381065,27396.2765381065,"Newcastle and Four Creeks",98038,22,"point population",2023-03-13
98056,22,0.188372104924962,7092.44330044409,27396.2765381065,27396.2765381065,"Newcastle and Four Creeks",98056,22,"point population",2023-03-13
98059,22,0.305050806880426,12920.5187864943,27396.2765381065,27396.2765381065,"Newcastle and Four Creeks",98059,22,"point population",2023-03-13
98056,23,0.811627895075045,30558.7965329135,65175.3346666467,65175.3346666467,"Renton - North",98056,23,"point population",2023-03-13
98057,23,0.645741553035872,8590.87713637463,65175.3346666467,65175.3346666467,"Renton - North",98057,23,"point population",2023-03-13
98058,23,0.0786613757422204,3507.70383150508,65175.3346666467,65175.3346666467,"Renton - North",98058,23,"point population",2023-03-13
98059,23,0.531644364769859,22517.9571658546,65175.3346666467,65175.3346666467,"Renton - North",98059,23,"point population",2023-03-13
98057,24,0.00214708034372302,28.564529180647,17641.0480447944,17641.0480447944,"Skyway",98057,24,"point population",2023-03-13
98178,24,0.655751520569907,17612.4835156137,17641.0480447944,17641.0480447944,"Skyway",98178,24,"point population",2023-03-13
98045,25,0.524196536485218,8184.38862748983,22921.4721455397,22921.4721455397,"Snoqualmie and North Bend",98045,25,"point population",2023-03-13
98065,25,0.888701017010887,14737.0835180501,22921.4721455397,22921.4721455397,"Snoqualmie and North Bend",98065,25,"point population",2023-03-13
98106,26,0.102543695333518,2724.69098056372,20949.4043521256,20949.4043521256,"North Highline and White Center",98106,26,"point population",2023-03-13
98108,26,0.0243586405630596,610.410204078076,20949.4043521256,20949.4043521256,"North Highline and White Center",98108,26,"point population",2023-03-13
98126,26,0.0124250023251873,304.719652768677,20949.4043521256,20949.4043521256,"North Highline and White Center",98126,26,"point population",2023-03-13
98146,26,0.379726237323635,10748.0575055089,20949.4043521256,20949.4043521256,"North Highline and White Center",98146,26,"point population",2023-03-13
98168,26,0.172387633006056,6561.5260092056,20949.4043521256,20949.4043521256,"North Highline and White Center",98168,26,"point population",2023-03-13
98106,27,0.811759244069079,21569.2742836163,33834.9726233142,33834.9726233142,"Seattle - Delridge",98106,27,"point population",2023-03-13
