"ZIP","hra_id","s2t_fraction","isect_amount","tcoverage_amount","target_amount","hra_name","source_id","target_id","method","creation_date"
98121,39,0.48442961433878,10802.0971618545,38326.7483224307,39099.8193698697,"Seattle - Downtown, Belltown, and First Hill",98121,39,"point population",2023-03-13
98122,39,0.182665974582249,7812.74292846042,38326.7483224307,39099.8193698697,"Seattle - Downtown, Belltown, and First Hill",98122,39,"point population",2023-03-13
98164,39,1,185.685830061059,38326.7483224307,39099.8193698697,"Seattle - Downtown, Belltown, and First Hill",98164,39,"point population",2023-03-13
98004,40,0.035286739366642,1425.60420557647,40653.0838404711,40653.0838404711,"Bellevue - Northeast",98004,40,"point population",2023-03-13
98005,40,0.27959293699329,6006.71917390972,40653.0838404711,40653.0838404711,"Bellevue - Northeast",98005,40,"point population",2023-03-13
98007,40,0.382746938564681,11516.313918191,40653.0838404711,40653.0838404711,"Bellevue - Northeast",98007,40,"point population",2023-03-13
98008,40,0.818915979186782,21704.4465427921,40653.0838404711,40653.0838404711,"Bellevue - Northeast",98008,40,"point population",2023-03-13
98102,41,0.216108752328566,5485.84382017412,26198.9540450208,26198.9540450208,"Montlake, Madison Park, and Madrona",98102,41,"point population",2023-03-13
98112,41,0.464169577408056,10845.5405414609,26198.9540450208,26198.9540450208,"Montlake, Madison Park, and Madrona",98112,41,"point population",2023-03-13
98122,41,0.100041047991398,4278.82090267795,26198.9540450208,26198.9540450208,"Montlake, Madison Park, and Madrona",98122,41,"point population",2023-03-13
98144,41,0.151576083283404,5588.74878070715,26198.9540450208,26198.9540450208,"Montlake, Madison Park, and Madrona",98144,41,"point population",2023-03-13
98101,42,0.123688359964981,2134.39838032582,41253.600100309,41253.600100309,"Seattle - Capitol Hill",98101,42,"point population",2023-03-13
98102,42,0.619333086696263,15721.5501439594,41253.600100309,41253.600100309,"Seattle - Capitol Hill",98102,42,"point population",2023-03-13
98104,42,0.0550962986036512,932.988390267208,41253.600100309,41253.600100309,"Seattle - Capitol Hill",98104,42,"point population",2023-03-13
98112,42,0.410986936769046,9602.90312353019,41253.600100309,41253.600100309,"Seattle - Capitol Hill",98112,42,"point population",2023-03-13
98122,42,0.300714609212495,12861.7600622265,41253.600100309,41253.600100309,"Seattle - Capitol Hill",98122,42,"point population",2023-03-13
98101,43,0.217425800016217,3751.95592800363,30615.8492616389,30615.8492616389,"Seattle - South Lake Union, Cascade, and Eastlake",98101,43,"point population",2023-03-13
98102,43,0.164558160975173,4177.25039230418,30615.8492616389,30615.8492616389,"Seattle - South Lake Union, Cascade, and Eastlake",98102,43,"point population",2023-03-13
98109,43,0.311743524883327,11190.1504998252,30615.8492616389,30615.8492616389,"Seattle - South Lake Union, Cascade, and Eastlake",98109,43,"point population",2023-03-13
98121,43,0.51557038566122,11496.4924415057,30615.8492616389,30615.8492616389,"Seattle - South Lake Union, Cascade, and Eastlake",98121,43,"point population",2023-03-13
98109,44,0.683568276372307,24536.9391148543,46860.0736344962,46860.0736344962,"Seattle - Queen Anne",98109,44,"point population",2023-03-13
98119,44,0.854957942038271,22323.134519642,46860.0736344962,46860.0736344962,"Seattle - Queen Anne",98119,44,"point population",2023-03-13
98119,45,0.145042057961722,3787.07912013324,26346.3593688595,26346.3593688595,"Magnolia and Interbay",98119,45,"point population",2023-03-13
98199,45,1,22559.2802487263,26346.3593688595,26346.3593688595,"Magnolia and Interbay",98199,45,"point population",2023-03-13
98103,46,0.452765028033424,24690.5452812661,39355.9260671218,39355.9260671218,"Fremont and Wallingford",98103,46,"point population",2023-03-13
98105,46,0.210194138083244,10544.977313286,39355.9260671218,39355.9260671218,"Fremont and Wallingford",98105,46,"point population",2023-03-13
98107,46,0.134149295490346,3989.31046217967,39355.9260671218,39355.9260671218,"Fremont and Wallingford",98107,46,"point population",2023-03-13
98115,46,0.00234925635607896,131.09301038978,39355.9260671218,39355.9260671218,"Fremont and Wallingford",98115,46,"point population",2023-03-13
98105,47,0.410935552783921,20615.7322979814,26579.115743271,26579.115743271,"Seattle - University District",98105,47,"point population",2023-03-13
98115,47,0.0246430755997443,1375.13088227857,26579.115743271,26579.115743271,"Seattle - University District",98115,47,"point population",2023-03-13
98195,47,1,4588.25256301108,26579.115743271,26579.115743271,"Seattle - University District",98195,47,"point population",2023-03-13
98033,48,0.0188840098871021,812.627285881278,38353.8935243208,38353.8935243208,"Redmond - South",98033,48,"point population",2023-03-13
98052,48,0.478069748598488,37541.2662384393,38353.8935243208,38353.8935243208,"Redmond - South",98052,48,"point population",2023-03-13
98105,49,0.126156311841293,6328.98452081199,28042.6560886291,28042.6560886291,"Seattle - Laurelhurst, Sand Point, and Wedgwood",98105,49,"point population",2023-03-13
98115,49,0.369245484855262,20604.6062436974,28042.6560886291,28042.6560886291,"Seattle - Laurelhurst, Sand Point, and Wedgwood",98115,49,"point population",2023-03-13
98125,49,0.0255637723751551,1109.06532411983,28042.6560886291,28042.6560886291,"Seattle - Laurelhurst, Sand Point, and Wedgwood",98125,49,"point population",2023-03-13
98105,50,0.251869856545546,12635.7563887987,28182.6162886885,28182.6162886885,"Seattle - Ravenna and Bryant",98105,50,"point population",2023-03-13
98115,50,0.278607984729999,15546.8598998899,28182.6162886885,28182.6162886885,"Seattle - Ravenna and Bryant",98115,50,"point population",2023-03-13
98033,51,0.981115990112891,42219.9325750571,56655.1083050898,56655.1083050898,"Kirkland - South",98033,51,"point population",2023-03-13
98034,51,0.277256100166195,14435.1757300325,56655.1083050898,56655.1083050898,"Kirkland - South",98034,51,"point population",2023-03-13
98103,52,0.404335402161792,22049.5421195775,45844.4192775398,45844.4192775398,"Green Lake and Phinney Ridge",98103,52,"point population",2023-03-13
98105,52,0.000844140746006074,42.3486834458205,45844.4192775398,45844.4192775398,"Green Lake and Phinney Ridge",98105,52,"point population",2023-03-13
98107,52,0.0792834327036796,2357.71814086841,45844.4192775398,45844.4192775398,"Green Lake and Phinney Ridge",98107,52,"point population",2023-03-13
98115,52,0.182425422497886,10179.6884554525,45844.4192775398,45844.4192775398,"Green Lake and Phinney Ridge",98115,52,"point population",2023-03-13
98117,52,0.269543976425429,9512.33596136485,45844.4192775398,45844.4192775398,"Green Lake and Phinney Ridge",98117,52,"point population",2023-03-13
98133,52,0.0284067098876279,1442.0608019887,45844.4192775398,45844.4192775398,"Green Lake and Phinney Ridge",98133,52,"point population",2023-03-13
98177,52,0.0121183711393143,260.725114839754,45844.4192775398,45844.4192775398,"Green Lake and Phinney Ridge",98177,52,"point population",2023-03-13
98052,53,0.465113568037089,36523.8594158685,36523.8594158685,36523.8594158685,"Redmond - North",98052,53,"point population",2023-03-13
98014,54,0.116085527127706,868.169352803983,50910.862012439,50910.862012439,"Bear Creek and Greater Sammamish",98014,54,"point population",2023-03-13
98019,54,0.00229967184458042,28.9668356727193,50910.862012439,50910.862012439,"Bear Creek and Greater Sammamish",98019,54,"point population",2023-03-13
98024,54,0.0866411763143152,434.346731480472,50910.862012439,50910.862012439,"Bear Creek and Greater Sammamish",98024,54,"point population",2023-03-13
98052,54,0.0568166833644574,4461.62980030262,50910.862012439,50910.862012439,"Bear Creek and Greater Sammamish",98052,54,"point population",2023-03-13
98053,54,0.99925563472724,22972.8057667269,50910.862012439,50910.862012439,"Bear Creek and Greater Sammamish",98053,54,"point population",2023-03-13
