"hra20_id","hra20_name","place20","tract20","bg20","creation_date"
8,"East Highlands, Hobart, and Greater Maple Valley",NA,NA,"530330315011",2023-03-15
8,"East Highlands, Hobart, and Greater Maple Valley",NA,NA,"530330315012",2023-03-15
8,"East Highlands, Hobart, and Greater Maple Valley",NA,NA,"530330315021",2023-03-15
8,"East Highlands, Hobart, and Greater Maple Valley",NA,NA,"530330316031",2023-03-15
8,"East Highlands, Hobart, and Greater Maple Valley",NA,NA,"530330316032",2023-03-15
8,"East Highlands, Hobart, and Greater Maple Valley",NA,NA,"530330316034",2023-03-15
8,"East Highlands, Hobart, and Greater Maple Valley",NA,NA,"530330317051",2023-03-15
8,"East Highlands, Hobart, and Greater Maple Valley",NA,NA,"530330317052",2023-03-15
8,"East Highlands, Hobart, and Greater Maple Valley",NA,NA,"530330319061",2023-03-15
8,"East Highlands, Hobart, and Greater Maple Valley",NA,NA,"530330319062",2023-03-15
8,"East Highlands, Hobart, and Greater Maple Valley",NA,NA,"530330319123",2023-03-15
8,"East Highlands, Hobart, and Greater Maple Valley",NA,NA,"530330319132",2023-03-15
8,"East Highlands, Hobart, and Greater Maple Valley",NA,NA,"530330319133",2023-03-15
8,"East Highlands, Hobart, and Greater Maple Valley",NA,NA,"530330320021",2023-03-15
8,"East Highlands, Hobart, and Greater Maple Valley",NA,NA,"530330320022",2023-03-15
8,"East Highlands, Hobart, and Greater Maple Valley",NA,NA,"530330320051",2023-03-15
8,"East Highlands, Hobart, and Greater Maple Valley",NA,NA,"530330320073",2023-03-15
8,"East Highlands, Hobart, and Greater Maple Valley",NA,NA,"530330320104",2023-03-15
9,"Kent - South",NA,"53033029507",NA,2023-03-15
9,"Kent - South",NA,NA,"530330295062",2023-03-15
9,"Kent - South",NA,NA,"530330295081",2023-03-15
9,"Kent - South",NA,NA,"530330296032",2023-03-15
9,"Kent - South",NA,NA,"530330296033",2023-03-15
9,"Kent - South",NA,NA,"530330296041",2023-03-15
9,"Kent - South",NA,NA,"530330296042",2023-03-15
9,"Kent - South",NA,NA,"530330296043",2023-03-15
9,"Kent - South",NA,NA,"530330297011",2023-03-15
9,"Kent - South",NA,NA,"530330297012",2023-03-15
9,"Kent - South",NA,NA,"530330297013",2023-03-15
9,"Kent - South",NA,NA,"530330297021",2023-03-15
9,"Kent - South",NA,NA,"530330297022",2023-03-15
9,"Kent - South",NA,NA,"530330317042",2023-03-15
9,"Kent - South",NA,NA,"530330317043",2023-03-15
9,"Kent - South",NA,NA,"530330317044",2023-03-15
9,"Kent - South",NA,NA,"530330317083",2023-03-15
10,"Maple Valley","5343150",NA,NA,2023-03-15
11,"Covington","5315290",NA,NA,2023-03-15
12,"Kent - Central",NA,"53033029504",NA,2023-03-15
12,"Kent - Central",NA,"53033029505",NA,2023-03-15
12,"Kent - Central",NA,NA,"530330292031",2023-03-15
12,"Kent - Central",NA,NA,"530330292032",2023-03-15
12,"Kent - Central",NA,NA,"530330292033",2023-03-15
12,"Kent - Central",NA,NA,"530330292082",2023-03-15
12,"Kent - Central",NA,NA,"530330294073",2023-03-15
12,"Kent - Central",NA,NA,"530330294082",2023-03-15
12,"Kent - Central",NA,NA,"530330294083",2023-03-15
12,"Kent - Central",NA,NA,"530330295061",2023-03-15
12,"Kent - Central",NA,NA,"530330295063",2023-03-15
12,"Kent - Central",NA,NA,"530330295082",2023-03-15
12,"Kent - Central",NA,NA,"530330295083",2023-03-15
12,"Kent - Central",NA,NA,"530330296031",2023-03-15
13,"Kent - West",NA,"53033029004",NA,2023-03-15
13,"Kent - West",NA,"53033029102",NA,2023-03-15
13,"Kent - West",NA,"53033029205",NA,2023-03-15
13,"Kent - West",NA,"53033029206",NA,2023-03-15
13,"Kent - West",NA,NA,"530330291011",2023-03-15
13,"Kent - West",NA,NA,"530330291012",2023-03-15
13,"Kent - West",NA,NA,"530330298032",2023-03-15
13,"Kent - West",NA,NA,"530330298033",2023-03-15
13,"Kent - West",NA,NA,"530330298041",2023-03-15
13,"Kent - West",NA,NA,"530330298043",2023-03-15
13,"Kent - West",NA,NA,"530330300033",2023-03-15
14,"Kent - East",NA,"53033029207",NA,2023-03-15
14,"Kent - East",NA,"53033029306",NA,2023-03-15
14,"Kent - East",NA,"53033029403",NA,2023-03-15
14,"Kent - East",NA,"53033029405",NA,2023-03-15
14,"Kent - East",NA,"53033029406",NA,2023-03-15
14,"Kent - East",NA,NA,"530330292081",2023-03-15
14,"Kent - East",NA,NA,"530330293051",2023-03-15
14,"Kent - East",NA,NA,"530330293052",2023-03-15
14,"Kent - East",NA,NA,"530330293072",2023-03-15
14,"Kent - East",NA,NA,"530330294071",2023-03-15
14,"Kent - East",NA,NA,"530330294072",2023-03-15
14,"Kent - East",NA,NA,"530330294081",2023-03-15
14,"Kent - East",NA,NA,"530330317072",2023-03-15
14,"Kent - East",NA,NA,"530330317073",2023-03-15
14,"Kent - East",NA,NA,"530330317081",2023-03-15
14,"Kent - East",NA,NA,"530330317082",2023-03-15
15,"Des Moines and Normandy Park","5317635",NA,NA,2023-03-15
15,"Des Moines and Normandy Park","5349415",NA,NA,2023-03-15
16,"Vashon","5374305",NA,NA,2023-03-15
17,"Fairwood",NA,"53033031908",NA,2023-03-15
17,"Fairwood",NA,"53033031909",NA,2023-03-15
17,"Fairwood",NA,NA,"530330257022",2023-03-15
17,"Fairwood",NA,NA,"530330258043",2023-03-15
17,"Fairwood",NA,NA,"530330293042",2023-03-15
17,"Fairwood",NA,NA,"530330293043",2023-03-15
17,"Fairwood",NA,NA,"530330293044",2023-03-15
17,"Fairwood",NA,NA,"530330293071",2023-03-15
17,"Fairwood",NA,NA,"530330293073",2023-03-15
17,"Fairwood",NA,NA,"530330319101",2023-03-15
17,"Fairwood",NA,NA,"530330319102",2023-03-15
17,"Fairwood",NA,NA,"530330319111",2023-03-15
17,"Fairwood",NA,NA,"530330319112",2023-03-15
17,"Fairwood",NA,NA,"530330319113",2023-03-15
18,"Seatac","5362288",NA,NA,2023-03-15
19,"Renton - South",NA,"53033025703",NA,2023-03-15
19,"Renton - South",NA,"53033025803",NA,2023-03-15
19,"Renton - South",NA,"53033025805",NA,2023-03-15
19,"Renton - South",NA,"53033025806",NA,2023-03-15
19,"Renton - South",NA,"53033026003",NA,2023-03-15
19,"Renton - South",NA,"53033029308",NA,2023-03-15
19,"Renton - South",NA,"53033029309",NA,2023-03-15
