"hra_id","GEOID10","hra_name","reg_id","reg_nm","creation"
1,"530330312023012","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312023013","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312023014","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312023015","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312023016","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312023017","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312023018","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312023019","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312023020","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312023021","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312023022","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312023023","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312023024","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312023025","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312023026","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312024000","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312024001","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312024002","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312024003","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312024004","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312024005","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312024006","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312024007","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312024008","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312024009","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312024010","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312024011","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312024012","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312024013","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312024014","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312024015","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312024016","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312024017","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312024018","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312024019","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312024020","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312024021","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312024022","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312024023","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312024024","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312024025","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312024026","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312024027","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312024028","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025000","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025001","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025002","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025003","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025004","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025005","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025006","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025007","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025008","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025009","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025010","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025011","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025012","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025013","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025014","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025015","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025016","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025017","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025018","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025019","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025020","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025021","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025022","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025023","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025024","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025025","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025026","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025027","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025028","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025029","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
1,"530330312025030","Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-03-13
