"btfid","gtfid","stfid","hra"
530330218021004,530330218021,53033021802,"Bothell/Woodinville"
530330218031002,530330218031,53033021803,"Bothell/Woodinville"
530330202001006,530330202001,53033020200,"Shoreline"
530330218021003,530330218021,53033021802,"Bothell/Woodinville"
530330202001007,530330202001,53033020200,"Shoreline"
530330218021002,530330218021,53033021802,"Bothell/Woodinville"
530330202001008,530330202001,53033020200,"Shoreline"
530330203004001,530330203004,53033020300,"Shoreline"
530330218043002,530330218043,53033021804,"Bothell/Woodinville"
530330203004000,530330203004,53033020300,"Shoreline"
530330203005003,530330203005,53033020300,"Shoreline"
530330218041008,530330218041,53033021804,"Bothell/Woodinville"
530330201003013,530330201003,53033020100,"Shoreline"
530330217003004,530330217003,53033021700,"Kenmore/LFP"
530330201003014,530330201003,53033020100,"Shoreline"
530330203005002,530330203005,53033020300,"Shoreline"
530330218021001,530330218021,53033021802,"Bothell/Woodinville"
530330218021000,530330218021,53033021802,"Bothell/Woodinville"
530330203001003,530330203001,53033020300,"Shoreline"
530330201003015,530330201003,53033020100,"Shoreline"
530330203001004,530330203001,53033020300,"Shoreline"
530330218023004,530330218023,53033021802,"Bothell/Woodinville"
530330218023003,530330218023,53033021802,"Bothell/Woodinville"
530330204025004,530330204025,53033020402,"Shoreline"
530330218023001,530330218023,53033021802,"Bothell/Woodinville"
530330218023000,530330218023,53033021802,"Bothell/Woodinville"
530330204012002,530330204012,53033020401,"Shoreline"
530330323193002,530330323193,53033032319,"Bothell/Woodinville"
530330323191008,530330323191,53033032319,"Bothell/Woodinville"
530330323191000,530330323191,53033032319,"Bothell/Woodinville"
530330216001007,530330216001,53033021600,"Kenmore/LFP"
530330204024000,530330204024,53033020402,"Kenmore/LFP"
530330202005004,530330202005,53033020200,"Shoreline"
530330202005005,530330202005,53033020200,"Shoreline"
530330218023005,530330218023,53033021802,"Bothell/Woodinville"
530330217002002,530330217002,53033021700,"Kenmore/LFP"
530330217002003,530330217002,53033021700,"Kenmore/LFP"
530330323201005,530330323201,53033032320,"Bothell/Woodinville"
530330218031003,530330218031,53033021803,"Bothell/Woodinville"
530330204011008,530330204011,53033020401,"Shoreline"
530330323201004,530330323201,53033032320,"Bothell/Woodinville"
530330218043003,530330218043,53033021804,"Bothell/Woodinville"
530330201002004,530330201002,53033020100,"Shoreline"
530330218041003,530330218041,53033021804,"Bothell/Woodinville"
530330203004002,530330203004,53033020300,"Shoreline"
530330323201003,530330323201,53033032320,"Bothell/Woodinville"
530330204021004,530330204021,53033020402,"Shoreline"
530330201002003,530330201002,53033020100,"Shoreline"
