"geo_id_blk","hra","vid"
530330030003020,"Ballard",2000
530330030003021,"Ballard",2000
530330030004000,"Ballard",2000
530330030004001,"Ballard",2000
530330030004002,"Ballard",2000
530330030004003,"Ballard",2000
530330030004004,"Ballard",2000
530330030004005,"Ballard",2000
530330030004006,"Ballard",2000
530330030004007,"Ballard",2000
530330030004008,"Ballard",2000
530330030004009,"Ballard",2000
530330030004010,"Ballard",2000
530330030004011,"Ballard",2000
530330030004012,"Ballard",2000
530330030004013,"Ballard",2000
530330030004014,"Ballard",2000
530330030004015,"Ballard",2000
530330030004016,"Ballard",2000
530330030004017,"Ballard",2000
530330030004018,"Ballard",2000
530330030004019,"Ballard",2000
530330031001000,"Ballard",2000
530330031001001,"Ballard",2000
530330031001002,"Ballard",2000
530330031001003,"Ballard",2000
530330031001004,"Ballard",2000
530330031001005,"Ballard",2000
530330031001006,"Ballard",2000
530330031001007,"Ballard",2000
530330031001008,"Ballard",2000
530330031001009,"Ballard",2000
530330031001010,"Ballard",2000
530330031001011,"Ballard",2000
530330031001012,"Ballard",2000
530330031001013,"Ballard",2000
530330031001014,"Ballard",2000
530330031001015,"Ballard",2000
530330031001016,"Ballard",2000
530330031001017,"Ballard",2000
530330031002000,"Ballard",2000
530330031002001,"Ballard",2000
530330031002002,"Ballard",2000
530330031002003,"Ballard",2000
530330031002004,"Ballard",2000
530330031002005,"Ballard",2000
530330031002006,"Ballard",2000
530330031002007,"Ballard",2000
530330031002008,"Ballard",2000
530330031002009,"Ballard",2000
530330031002010,"Ballard",2000
530330031002011,"Ballard",2000
530330031002012,"Ballard",2000
530330031002013,"Ballard",2000
530330031002014,"Ballard",2000
530330031002015,"Ballard",2000
530330031002016,"Ballard",2000
530330031002017,"Ballard",2000
530330031003000,"Ballard",2000
530330031003001,"Ballard",2000
530330031003002,"Ballard",2000
530330031003003,"Ballard",2000
530330031003004,"Ballard",2000
530330031003005,"Ballard",2000
530330031003006,"Ballard",2000
530330031003007,"Ballard",2000
530330031003008,"Ballard",2000
530330031003009,"Ballard",2000
530330031003010,"Ballard",2000
530330031003011,"Ballard",2000
530330031003012,"Ballard",2000
530330031003013,"Ballard",2000
530330031003014,"Ballard",2000
530330031003015,"Ballard",2000
530330031003016,"Ballard",2000
530330031004000,"Ballard",2000
530330031004001,"Ballard",2000
530330031004002,"Ballard",2000
530330031004003,"Ballard",2000
530330031004004,"Ballard",2000
530330031004005,"Ballard",2000
530330031004006,"Ballard",2000
530330031004007,"Ballard",2000
530330031004008,"Ballard",2000
530330031004009,"Ballard",2000
530330031004010,"Ballard",2000
530330031004011,"Ballard",2000
530330031004012,"Ballard",2000
530330031004013,"Ballard",2000
530330031004014,"Ballard",2000
530330031004015,"Ballard",2000
530330031004016,"Ballard",2000
530330031004017,"Ballard",2000
530330031004018,"Ballard",2000
530330031004019,"Ballard",2000
530330031004020,"Ballard",2000
530330031004021,"Ballard",2000
530330031004022,"Ballard",2000
530330031004023,"Ballard",2000
530330031004024,"Ballard",2000
530330031004025,"Ballard",2000
530330031004026,"Ballard",2000
530330031004027,"Ballard",2000
530330031004028,"Ballard",2000
530330031005000,"Ballard",2000
530330031005002,"Ballard",2000
530330031005003,"Ballard",2000
530330031005004,"Ballard",2000
530330031005005,"Ballard",2000
530330031005007,"Ballard",2000
530330031005008,"Ballard",2000
530330031005009,"Ballard",2000
530330031005010,"Ballard",2000
530330031005011,"Ballard",2000
530330031005012,"Ballard",2000
530330031005013,"Ballard",2000
