"mechanism","intent","orig.coding","icd10"
"All injury","Unintentional","V01-X59, Y85, Y86","V119"
"All injury","Unintentional","V01-X59, Y85, Y86","V120"
"All injury","Unintentional","V01-X59, Y85, Y86","V121"
"All injury","Unintentional","V01-X59, Y85, Y86","V122"
"All injury","Unintentional","V01-X59, Y85, Y86","V123"
"All injury","Unintentional","V01-X59, Y85, Y86","V124"
"All injury","Unintentional","V01-X59, Y85, Y86","V125"
"All injury","Unintentional","V01-X59, Y85, Y86","V126"
"All injury","Unintentional","V01-X59, Y85, Y86","V127"
"All injury","Unintentional","V01-X59, Y85, Y86","V128"
"All injury","Unintentional","V01-X59, Y85, Y86","V129"
"All injury","Unintentional","V01-X59, Y85, Y86","V130"
"All injury","Unintentional","V01-X59, Y85, Y86","V131"
"All injury","Unintentional","V01-X59, Y85, Y86","V132"
"All injury","Unintentional","V01-X59, Y85, Y86","V133"
"All injury","Unintentional","V01-X59, Y85, Y86","V134"
"All injury","Unintentional","V01-X59, Y85, Y86","V135"
"All injury","Unintentional","V01-X59, Y85, Y86","V136"
"All injury","Unintentional","V01-X59, Y85, Y86","V137"
"All injury","Unintentional","V01-X59, Y85, Y86","V138"
"All injury","Unintentional","V01-X59, Y85, Y86","V139"
"All injury","Unintentional","V01-X59, Y85, Y86","V140"
"All injury","Unintentional","V01-X59, Y85, Y86","V141"
"All injury","Unintentional","V01-X59, Y85, Y86","V142"
"All injury","Unintentional","V01-X59, Y85, Y86","V143"
"All injury","Unintentional","V01-X59, Y85, Y86","V144"
"All injury","Unintentional","V01-X59, Y85, Y86","V145"
"All injury","Unintentional","V01-X59, Y85, Y86","V146"
"All injury","Unintentional","V01-X59, Y85, Y86","V147"
"All injury","Unintentional","V01-X59, Y85, Y86","V148"
"All injury","Unintentional","V01-X59, Y85, Y86","V149"
"All injury","Unintentional","V01-X59, Y85, Y86","V150"
"All injury","Unintentional","V01-X59, Y85, Y86","V151"
"All injury","Unintentional","V01-X59, Y85, Y86","V152"
"All injury","Unintentional","V01-X59, Y85, Y86","V153"
"All injury","Unintentional","V01-X59, Y85, Y86","V154"
"All injury","Unintentional","V01-X59, Y85, Y86","V155"
"All injury","Unintentional","V01-X59, Y85, Y86","V156"
"All injury","Unintentional","V01-X59, Y85, Y86","V157"
"All injury","Unintentional","V01-X59, Y85, Y86","V158"
"All injury","Unintentional","V01-X59, Y85, Y86","V159"
"All injury","Unintentional","V01-X59, Y85, Y86","V160"
"All injury","Unintentional","V01-X59, Y85, Y86","V161"
"All injury","Unintentional","V01-X59, Y85, Y86","V162"
"All injury","Unintentional","V01-X59, Y85, Y86","V163"
"All injury","Unintentional","V01-X59, Y85, Y86","V164"
"All injury","Unintentional","V01-X59, Y85, Y86","V165"
"All injury","Unintentional","V01-X59, Y85, Y86","V166"
"All injury","Unintentional","V01-X59, Y85, Y86","V167"
"All injury","Unintentional","V01-X59, Y85, Y86","V168"
"All injury","Unintentional","V01-X59, Y85, Y86","V169"
"All injury","Unintentional","V01-X59, Y85, Y86","V170"
"All injury","Unintentional","V01-X59, Y85, Y86","V171"
"All injury","Unintentional","V01-X59, Y85, Y86","V172"
"All injury","Unintentional","V01-X59, Y85, Y86","V173"
"All injury","Unintentional","V01-X59, Y85, Y86","V174"
"All injury","Unintentional","V01-X59, Y85, Y86","V175"
"All injury","Unintentional","V01-X59, Y85, Y86","V176"
"All injury","Unintentional","V01-X59, Y85, Y86","V177"
"All injury","Unintentional","V01-X59, Y85, Y86","V178"
"All injury","Unintentional","V01-X59, Y85, Y86","V179"
"All injury","Unintentional","V01-X59, Y85, Y86","V180"
"All injury","Unintentional","V01-X59, Y85, Y86","V181"
"All injury","Unintentional","V01-X59, Y85, Y86","V182"
"All injury","Unintentional","V01-X59, Y85, Y86","V183"
"All injury","Unintentional","V01-X59, Y85, Y86","V184"
"All injury","Unintentional","V01-X59, Y85, Y86","V185"
"All injury","Unintentional","V01-X59, Y85, Y86","V186"
"All injury","Unintentional","V01-X59, Y85, Y86","V187"
"All injury","Unintentional","V01-X59, Y85, Y86","V188"
"All injury","Unintentional","V01-X59, Y85, Y86","V189"
"All injury","Unintentional","V01-X59, Y85, Y86","V190"
"All injury","Unintentional","V01-X59, Y85, Y86","V191"
"All injury","Unintentional","V01-X59, Y85, Y86","V192"
"All injury","Unintentional","V01-X59, Y85, Y86","V193"
"All injury","Unintentional","V01-X59, Y85, Y86","V194"
"All injury","Unintentional","V01-X59, Y85, Y86","V195"
"All injury","Unintentional","V01-X59, Y85, Y86","V196"
"All injury","Unintentional","V01-X59, Y85, Y86","V197"
"All injury","Unintentional","V01-X59, Y85, Y86","V198"
"All injury","Unintentional","V01-X59, Y85, Y86","V199"
"All injury","Unintentional","V01-X59, Y85, Y86","V200"
"All injury","Unintentional","V01-X59, Y85, Y86","V201"
"All injury","Unintentional","V01-X59, Y85, Y86","V202"
"All injury","Unintentional","V01-X59, Y85, Y86","V203"
"All injury","Unintentional","V01-X59, Y85, Y86","V204"
"All injury","Unintentional","V01-X59, Y85, Y86","V205"
"All injury","Unintentional","V01-X59, Y85, Y86","V206"
"All injury","Unintentional","V01-X59, Y85, Y86","V207"
"All injury","Unintentional","V01-X59, Y85, Y86","V208"
"All injury","Unintentional","V01-X59, Y85, Y86","V209"
"All injury","Unintentional","V01-X59, Y85, Y86","V210"
"All injury","Unintentional","V01-X59, Y85, Y86","V211"
"All injury","Unintentional","V01-X59, Y85, Y86","V212"
"All injury","Unintentional","V01-X59, Y85, Y86","V213"
"All injury","Unintentional","V01-X59, Y85, Y86","V214"
"All injury","Unintentional","V01-X59, Y85, Y86","V215"
"All injury","Unintentional","V01-X59, Y85, Y86","V216"
