"mechanism","intent","orig.coding","icd10"
"All injury","Suicide","X60-X84, Y87.0","X842"
"All injury","Suicide","X60-X84, Y87.0","X843"
"All injury","Suicide","X60-X84, Y87.0","X844"
"All injury","Suicide","X60-X84, Y87.0","X845"
"All injury","Suicide","X60-X84, Y87.0","X846"
"All injury","Suicide","X60-X84, Y87.0","X847"
"All injury","Suicide","X60-X84, Y87.0","X848"
"All injury","Suicide","X60-X84, Y87.0","X849"
"All injury","Suicide","X60-X84, Y87.0","Y870"
"All injury","Homicide","X85-Y09, Y87.1","X850"
"All injury","Homicide","X85-Y09, Y87.1","X851"
"All injury","Homicide","X85-Y09, Y87.1","X852"
"All injury","Homicide","X85-Y09, Y87.1","X853"
"All injury","Homicide","X85-Y09, Y87.1","X854"
"All injury","Homicide","X85-Y09, Y87.1","X855"
"All injury","Homicide","X85-Y09, Y87.1","X856"
"All injury","Homicide","X85-Y09, Y87.1","X857"
"All injury","Homicide","X85-Y09, Y87.1","X858"
"All injury","Homicide","X85-Y09, Y87.1","X859"
"All injury","Homicide","X85-Y09, Y87.1","X860"
"All injury","Homicide","X85-Y09, Y87.1","X861"
"All injury","Homicide","X85-Y09, Y87.1","X862"
"All injury","Homicide","X85-Y09, Y87.1","X863"
"All injury","Homicide","X85-Y09, Y87.1","X864"
"All injury","Homicide","X85-Y09, Y87.1","X865"
"All injury","Homicide","X85-Y09, Y87.1","X866"
"All injury","Homicide","X85-Y09, Y87.1","X867"
"All injury","Homicide","X85-Y09, Y87.1","X868"
"All injury","Homicide","X85-Y09, Y87.1","X869"
"All injury","Homicide","X85-Y09, Y87.1","X870"
"All injury","Homicide","X85-Y09, Y87.1","X871"
"All injury","Homicide","X85-Y09, Y87.1","X872"
"All injury","Homicide","X85-Y09, Y87.1","X873"
"All injury","Homicide","X85-Y09, Y87.1","X874"
"All injury","Homicide","X85-Y09, Y87.1","X875"
"All injury","Homicide","X85-Y09, Y87.1","X876"
"All injury","Homicide","X85-Y09, Y87.1","X877"
"All injury","Homicide","X85-Y09, Y87.1","X878"
"All injury","Homicide","X85-Y09, Y87.1","X879"
"All injury","Homicide","X85-Y09, Y87.1","X880"
"All injury","Homicide","X85-Y09, Y87.1","X881"
"All injury","Homicide","X85-Y09, Y87.1","X882"
"All injury","Homicide","X85-Y09, Y87.1","X883"
"All injury","Homicide","X85-Y09, Y87.1","X884"
"All injury","Homicide","X85-Y09, Y87.1","X885"
"All injury","Homicide","X85-Y09, Y87.1","X886"
"All injury","Homicide","X85-Y09, Y87.1","X887"
"All injury","Homicide","X85-Y09, Y87.1","X888"
"All injury","Homicide","X85-Y09, Y87.1","X889"
"All injury","Homicide","X85-Y09, Y87.1","X890"
"All injury","Homicide","X85-Y09, Y87.1","X891"
"All injury","Homicide","X85-Y09, Y87.1","X892"
"All injury","Homicide","X85-Y09, Y87.1","X893"
"All injury","Homicide","X85-Y09, Y87.1","X894"
"All injury","Homicide","X85-Y09, Y87.1","X895"
"All injury","Homicide","X85-Y09, Y87.1","X896"
"All injury","Homicide","X85-Y09, Y87.1","X897"
"All injury","Homicide","X85-Y09, Y87.1","X898"
"All injury","Homicide","X85-Y09, Y87.1","X899"
"All injury","Homicide","X85-Y09, Y87.1","X900"
"All injury","Homicide","X85-Y09, Y87.1","X901"
"All injury","Homicide","X85-Y09, Y87.1","X902"
"All injury","Homicide","X85-Y09, Y87.1","X903"
"All injury","Homicide","X85-Y09, Y87.1","X904"
"All injury","Homicide","X85-Y09, Y87.1","X905"
"All injury","Homicide","X85-Y09, Y87.1","X906"
"All injury","Homicide","X85-Y09, Y87.1","X907"
"All injury","Homicide","X85-Y09, Y87.1","X908"
"All injury","Homicide","X85-Y09, Y87.1","X909"
"All injury","Homicide","X85-Y09, Y87.1","X910"
"All injury","Homicide","X85-Y09, Y87.1","X911"
"All injury","Homicide","X85-Y09, Y87.1","X912"
"All injury","Homicide","X85-Y09, Y87.1","X913"
"All injury","Homicide","X85-Y09, Y87.1","X914"
"All injury","Homicide","X85-Y09, Y87.1","X915"
"All injury","Homicide","X85-Y09, Y87.1","X916"
"All injury","Homicide","X85-Y09, Y87.1","X917"
"All injury","Homicide","X85-Y09, Y87.1","X918"
"All injury","Homicide","X85-Y09, Y87.1","X919"
"All injury","Homicide","X85-Y09, Y87.1","X920"
"All injury","Homicide","X85-Y09, Y87.1","X921"
"All injury","Homicide","X85-Y09, Y87.1","X922"
"All injury","Homicide","X85-Y09, Y87.1","X923"
"All injury","Homicide","X85-Y09, Y87.1","X924"
"All injury","Homicide","X85-Y09, Y87.1","X925"
"All injury","Homicide","X85-Y09, Y87.1","X926"
"All injury","Homicide","X85-Y09, Y87.1","X927"
"All injury","Homicide","X85-Y09, Y87.1","X928"
"All injury","Homicide","X85-Y09, Y87.1","X929"
"All injury","Homicide","X85-Y09, Y87.1","X930"
"All injury","Homicide","X85-Y09, Y87.1","X931"
"All injury","Homicide","X85-Y09, Y87.1","X932"
"All injury","Homicide","X85-Y09, Y87.1","X933"
"All injury","Homicide","X85-Y09, Y87.1","X934"
"All injury","Homicide","X85-Y09, Y87.1","X935"
"All injury","Homicide","X85-Y09, Y87.1","X936"
"All injury","Homicide","X85-Y09, Y87.1","X937"
"All injury","Homicide","X85-Y09, Y87.1","X938"
"All injury","Homicide","X85-Y09, Y87.1","X939"
"All injury","Homicide","X85-Y09, Y87.1","X940"
"All injury","Homicide","X85-Y09, Y87.1","X941"
"All injury","Homicide","X85-Y09, Y87.1","X942"
"All injury","Homicide","X85-Y09, Y87.1","X943"
"All injury","Homicide","X85-Y09, Y87.1","X944"
"All injury","Homicide","X85-Y09, Y87.1","X945"
"All injury","Homicide","X85-Y09, Y87.1","X946"
"All injury","Homicide","X85-Y09, Y87.1","X947"
"All injury","Homicide","X85-Y09, Y87.1","X948"
"All injury","Homicide","X85-Y09, Y87.1","X949"
"All injury","Homicide","X85-Y09, Y87.1","X950"
"All injury","Homicide","X85-Y09, Y87.1","X951"
"All injury","Homicide","X85-Y09, Y87.1","X952"
"All injury","Homicide","X85-Y09, Y87.1","X953"
"All injury","Homicide","X85-Y09, Y87.1","X954"
"All injury","Homicide","X85-Y09, Y87.1","X955"
"All injury","Homicide","X85-Y09, Y87.1","X956"
"All injury","Homicide","X85-Y09, Y87.1","X957"
"All injury","Homicide","X85-Y09, Y87.1","X958"
"All injury","Homicide","X85-Y09, Y87.1","X959"
"All injury","Homicide","X85-Y09, Y87.1","X960"
"All injury","Homicide","X85-Y09, Y87.1","X961"
"All injury","Homicide","X85-Y09, Y87.1","X962"
"All injury","Homicide","X85-Y09, Y87.1","X963"
"All injury","Homicide","X85-Y09, Y87.1","X964"
"All injury","Homicide","X85-Y09, Y87.1","X965"
"All injury","Homicide","X85-Y09, Y87.1","X966"
"All injury","Homicide","X85-Y09, Y87.1","X967"
"All injury","Homicide","X85-Y09, Y87.1","X968"
"All injury","Homicide","X85-Y09, Y87.1","X969"
"All injury","Homicide","X85-Y09, Y87.1","X970"
"All injury","Homicide","X85-Y09, Y87.1","X971"
"All injury","Homicide","X85-Y09, Y87.1","X972"
"All injury","Homicide","X85-Y09, Y87.1","X973"
"All injury","Homicide","X85-Y09, Y87.1","X974"
"All injury","Homicide","X85-Y09, Y87.1","X975"
"All injury","Homicide","X85-Y09, Y87.1","X976"
"All injury","Homicide","X85-Y09, Y87.1","X977"
"All injury","Homicide","X85-Y09, Y87.1","X978"
"All injury","Homicide","X85-Y09, Y87.1","X979"
"All injury","Homicide","X85-Y09, Y87.1","X980"
"All injury","Homicide","X85-Y09, Y87.1","X981"
"All injury","Homicide","X85-Y09, Y87.1","X982"
"All injury","Homicide","X85-Y09, Y87.1","X983"
"All injury","Homicide","X85-Y09, Y87.1","X984"
"All injury","Homicide","X85-Y09, Y87.1","X985"
"All injury","Homicide","X85-Y09, Y87.1","X986"
"All injury","Homicide","X85-Y09, Y87.1","X987"
"All injury","Homicide","X85-Y09, Y87.1","X988"
"All injury","Homicide","X85-Y09, Y87.1","X989"
"All injury","Homicide","X85-Y09, Y87.1","X990"
"All injury","Homicide","X85-Y09, Y87.1","X991"
"All injury","Homicide","X85-Y09, Y87.1","X992"
"All injury","Homicide","X85-Y09, Y87.1","X993"
"All injury","Homicide","X85-Y09, Y87.1","X994"
"All injury","Homicide","X85-Y09, Y87.1","X995"
"All injury","Homicide","X85-Y09, Y87.1","X996"
"All injury","Homicide","X85-Y09, Y87.1","X997"
"All injury","Homicide","X85-Y09, Y87.1","X998"
"All injury","Homicide","X85-Y09, Y87.1","X999"
"All injury","Homicide","X85-Y09, Y87.1","Y000"
"All injury","Homicide","X85-Y09, Y87.1","Y001"
"All injury","Homicide","X85-Y09, Y87.1","Y002"
"All injury","Homicide","X85-Y09, Y87.1","Y003"
"All injury","Homicide","X85-Y09, Y87.1","Y004"
"All injury","Homicide","X85-Y09, Y87.1","Y005"
"All injury","Homicide","X85-Y09, Y87.1","Y006"
"All injury","Homicide","X85-Y09, Y87.1","Y007"
"All injury","Homicide","X85-Y09, Y87.1","Y008"
"All injury","Homicide","X85-Y09, Y87.1","Y009"
"All injury","Homicide","X85-Y09, Y87.1","Y010"
"All injury","Homicide","X85-Y09, Y87.1","Y011"
"All injury","Homicide","X85-Y09, Y87.1","Y012"
"All injury","Homicide","X85-Y09, Y87.1","Y013"
"All injury","Homicide","X85-Y09, Y87.1","Y014"
"All injury","Homicide","X85-Y09, Y87.1","Y015"
"All injury","Homicide","X85-Y09, Y87.1","Y016"
"All injury","Homicide","X85-Y09, Y87.1","Y017"
"All injury","Homicide","X85-Y09, Y87.1","Y018"
"All injury","Homicide","X85-Y09, Y87.1","Y019"
"All injury","Homicide","X85-Y09, Y87.1","Y020"
"All injury","Homicide","X85-Y09, Y87.1","Y021"
"All injury","Homicide","X85-Y09, Y87.1","Y022"
"All injury","Homicide","X85-Y09, Y87.1","Y023"
"All injury","Homicide","X85-Y09, Y87.1","Y024"
"All injury","Homicide","X85-Y09, Y87.1","Y025"
"All injury","Homicide","X85-Y09, Y87.1","Y026"
"All injury","Homicide","X85-Y09, Y87.1","Y027"
"All injury","Homicide","X85-Y09, Y87.1","Y028"
"All injury","Homicide","X85-Y09, Y87.1","Y029"
"All injury","Homicide","X85-Y09, Y87.1","Y030"
"All injury","Homicide","X85-Y09, Y87.1","Y031"
"All injury","Homicide","X85-Y09, Y87.1","Y032"
"All injury","Homicide","X85-Y09, Y87.1","Y033"
"All injury","Homicide","X85-Y09, Y87.1","Y034"
"All injury","Homicide","X85-Y09, Y87.1","Y035"
"All injury","Homicide","X85-Y09, Y87.1","Y036"
"All injury","Homicide","X85-Y09, Y87.1","Y037"
"All injury","Homicide","X85-Y09, Y87.1","Y038"
"All injury","Homicide","X85-Y09, Y87.1","Y039"
"All injury","Homicide","X85-Y09, Y87.1","Y040"
"All injury","Homicide","X85-Y09, Y87.1","Y041"
"All injury","Homicide","X85-Y09, Y87.1","Y042"
"All injury","Homicide","X85-Y09, Y87.1","Y043"
"All injury","Homicide","X85-Y09, Y87.1","Y044"
"All injury","Homicide","X85-Y09, Y87.1","Y045"
"All injury","Homicide","X85-Y09, Y87.1","Y046"
"All injury","Homicide","X85-Y09, Y87.1","Y047"
"All injury","Homicide","X85-Y09, Y87.1","Y048"
"All injury","Homicide","X85-Y09, Y87.1","Y049"
"All injury","Homicide","X85-Y09, Y87.1","Y050"
"All injury","Homicide","X85-Y09, Y87.1","Y051"
"All injury","Homicide","X85-Y09, Y87.1","Y052"
"All injury","Homicide","X85-Y09, Y87.1","Y053"
"All injury","Homicide","X85-Y09, Y87.1","Y054"
"All injury","Homicide","X85-Y09, Y87.1","Y055"
"All injury","Homicide","X85-Y09, Y87.1","Y056"
"All injury","Homicide","X85-Y09, Y87.1","Y057"
"All injury","Homicide","X85-Y09, Y87.1","Y058"
"All injury","Homicide","X85-Y09, Y87.1","Y059"
"All injury","Homicide","X85-Y09, Y87.1","Y060"
"All injury","Homicide","X85-Y09, Y87.1","Y061"
"All injury","Homicide","X85-Y09, Y87.1","Y062"
"All injury","Homicide","X85-Y09, Y87.1","Y063"
"All injury","Homicide","X85-Y09, Y87.1","Y064"
"All injury","Homicide","X85-Y09, Y87.1","Y065"
"All injury","Homicide","X85-Y09, Y87.1","Y066"
"All injury","Homicide","X85-Y09, Y87.1","Y067"
"All injury","Homicide","X85-Y09, Y87.1","Y068"
"All injury","Homicide","X85-Y09, Y87.1","Y069"
"All injury","Homicide","X85-Y09, Y87.1","Y070"
"All injury","Homicide","X85-Y09, Y87.1","Y071"
"All injury","Homicide","X85-Y09, Y87.1","Y072"
"All injury","Homicide","X85-Y09, Y87.1","Y073"
"All injury","Homicide","X85-Y09, Y87.1","Y074"
"All injury","Homicide","X85-Y09, Y87.1","Y075"
"All injury","Homicide","X85-Y09, Y87.1","Y076"
"All injury","Homicide","X85-Y09, Y87.1","Y077"
"All injury","Homicide","X85-Y09, Y87.1","Y078"
"All injury","Homicide","X85-Y09, Y87.1","Y079"
"All injury","Homicide","X85-Y09, Y87.1","Y080"
"All injury","Homicide","X85-Y09, Y87.1","Y081"
"All injury","Homicide","X85-Y09, Y87.1","Y082"
"All injury","Homicide","X85-Y09, Y87.1","Y083"
"All injury","Homicide","X85-Y09, Y87.1","Y084"
"All injury","Homicide","X85-Y09, Y87.1","Y085"
"All injury","Homicide","X85-Y09, Y87.1","Y086"
"All injury","Homicide","X85-Y09, Y87.1","Y087"
"All injury","Homicide","X85-Y09, Y87.1","Y088"
"All injury","Homicide","X85-Y09, Y87.1","Y089"
"All injury","Homicide","X85-Y09, Y87.1","Y090"
"All injury","Homicide","X85-Y09, Y87.1","Y091"
"All injury","Homicide","X85-Y09, Y87.1","Y092"
"All injury","Homicide","X85-Y09, Y87.1","Y093"
"All injury","Homicide","X85-Y09, Y87.1","Y094"
"All injury","Homicide","X85-Y09, Y87.1","Y095"
"All injury","Homicide","X85-Y09, Y87.1","Y096"
"All injury","Homicide","X85-Y09, Y87.1","Y097"
"All injury","Homicide","X85-Y09, Y87.1","Y098"
"All injury","Homicide","X85-Y09, Y87.1","Y099"
"All injury","Homicide","X85-Y09, Y87.1","Y871"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y100"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y101"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y102"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y103"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y104"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y105"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y106"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y107"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y108"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y109"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y110"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y111"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y112"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y113"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y114"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y115"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y116"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y117"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y118"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y119"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y120"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y121"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y122"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y123"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y124"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y125"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y126"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y127"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y128"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y129"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y130"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y131"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y132"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y133"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y134"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y135"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y136"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y137"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y138"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y139"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y140"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y141"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y142"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y143"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y144"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y145"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y146"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y147"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y148"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y149"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y150"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y151"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y152"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y153"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y154"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y155"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y156"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y157"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y158"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y159"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y160"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y161"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y162"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y163"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y164"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y165"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y166"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y167"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y168"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y169"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y170"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y171"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y172"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y173"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y174"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y175"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y176"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y177"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y178"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y179"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y180"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y181"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y182"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y183"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y184"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y185"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y186"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y187"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y188"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y189"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y190"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y191"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y192"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y193"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y194"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y195"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y196"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y197"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y198"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y199"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y200"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y201"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y202"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y203"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y204"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y205"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y206"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y207"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y208"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y209"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y210"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y211"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y212"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y213"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y214"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y215"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y216"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y217"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y218"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y219"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y220"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y221"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y222"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y223"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y224"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y225"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y226"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y227"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y228"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y229"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y230"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y231"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y232"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y233"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y234"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y235"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y236"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y237"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y238"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y239"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y240"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y241"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y242"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y243"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y244"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y245"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y246"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y247"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y248"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y249"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y250"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y251"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y252"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y253"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y254"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y255"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y256"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y257"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y258"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y259"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y260"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y261"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y262"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y263"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y264"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y265"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y266"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y267"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y268"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y269"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y270"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y271"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y272"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y273"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y274"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y275"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y276"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y277"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y278"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y279"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y280"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y281"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y282"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y283"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y284"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y285"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y286"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y287"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y288"
"All injury","Undetermined","Y10-Y34, Y87.2, Y89.9","Y289"
