"mechanism","intent","matrix_version","creation_date"
"natural_environmental","any","Unknown",2025-11-25
"natural_environmental","assault","Unknown",2025-11-25
"natural_environmental","intentional","Unknown",2025-11-25
"natural_environmental","legal","Unknown",2025-11-25
"natural_environmental","undetermined","Unknown",2025-11-25
"natural_environmental","unintentional","Unknown",2025-11-25
"other_land_transport","any","Unknown",2025-11-25
"other_land_transport","assault","Unknown",2025-11-25
"other_land_transport","intentional","Unknown",2025-11-25
"other_land_transport","legal","Unknown",2025-11-25
"other_land_transport","undetermined","Unknown",2025-11-25
"other_land_transport","unintentional","Unknown",2025-11-25
"other_specified","any","Unknown",2025-11-25
"other_specified","assault","Unknown",2025-11-25
"other_specified","intentional","Unknown",2025-11-25
"other_specified","legal","Unknown",2025-11-25
"other_specified","undetermined","Unknown",2025-11-25
"other_specified","unintentional","Unknown",2025-11-25
"other_transport","any","Unknown",2025-11-25
"other_transport","assault","Unknown",2025-11-25
"other_transport","intentional","Unknown",2025-11-25
"other_transport","legal","Unknown",2025-11-25
"other_transport","undetermined","Unknown",2025-11-25
"other_transport","unintentional","Unknown",2025-11-25
"overexertion","any","Unknown",2025-11-25
"overexertion","assault","Unknown",2025-11-25
"overexertion","intentional","Unknown",2025-11-25
"overexertion","legal","Unknown",2025-11-25
"overexertion","undetermined","Unknown",2025-11-25
"overexertion","unintentional","Unknown",2025-11-25
"pedal_cyclist","any","Unknown",2025-11-25
"pedal_cyclist","assault","Unknown",2025-11-25
"pedal_cyclist","intentional","Unknown",2025-11-25
"pedal_cyclist","legal","Unknown",2025-11-25
"pedal_cyclist","undetermined","Unknown",2025-11-25
"pedal_cyclist","unintentional","Unknown",2025-11-25
"pedestrian","any","Unknown",2025-11-25
"pedestrian","assault","Unknown",2025-11-25
"pedestrian","intentional","Unknown",2025-11-25
"pedestrian","legal","Unknown",2025-11-25
"pedestrian","undetermined","Unknown",2025-11-25
"pedestrian","unintentional","Unknown",2025-11-25
"poisoning","any","Unknown",2025-11-25
"poisoning","assault","Unknown",2025-11-25
"poisoning","intentional","Unknown",2025-11-25
"poisoning","legal","Unknown",2025-11-25
"poisoning","undetermined","Unknown",2025-11-25
"poisoning","unintentional","Unknown",2025-11-25
"poisoning_drug","any","Unknown",2025-11-25
"poisoning_drug","assault","Unknown",2025-11-25
"poisoning_drug","intentional","Unknown",2025-11-25
"poisoning_drug","legal","Unknown",2025-11-25
"poisoning_drug","undetermined","Unknown",2025-11-25
"poisoning_drug","unintentional","Unknown",2025-11-25
"poisoning_nondrug","any","Unknown",2025-11-25
"poisoning_nondrug","assault","Unknown",2025-11-25
"poisoning_nondrug","intentional","Unknown",2025-11-25
"poisoning_nondrug","legal","Unknown",2025-11-25
"poisoning_nondrug","undetermined","Unknown",2025-11-25
"poisoning_nondrug","unintentional","Unknown",2025-11-25
"struck_by_against","any","Unknown",2025-11-25
"struck_by_against","assault","Unknown",2025-11-25
"struck_by_against","intentional","Unknown",2025-11-25
"struck_by_against","legal","Unknown",2025-11-25
"struck_by_against","undetermined","Unknown",2025-11-25
"struck_by_against","unintentional","Unknown",2025-11-25
"suffocation","any","Unknown",2025-11-25
"suffocation","assault","Unknown",2025-11-25
"suffocation","intentional","Unknown",2025-11-25
"suffocation","legal","Unknown",2025-11-25
"suffocation","undetermined","Unknown",2025-11-25
"suffocation","unintentional","Unknown",2025-11-25
"unspecified","any","Unknown",2025-11-25
"unspecified","assault","Unknown",2025-11-25
"unspecified","intentional","Unknown",2025-11-25
"unspecified","legal","Unknown",2025-11-25
"unspecified","undetermined","Unknown",2025-11-25
"unspecified","unintentional","Unknown",2025-11-25
