"mechanism","intent","matrix_version","creation_date"
"mvt_pedal_cyclist","intentional","Unknown",2025-11-24
"mvt_pedal_cyclist","legal","Unknown",2025-11-24
"mvt_pedal_cyclist","undetermined","Unknown",2025-11-24
"mvt_pedal_cyclist","unintentional","Unknown",2025-11-24
"mvt_pedestrian","any","Unknown",2025-11-24
"mvt_pedestrian","assault","Unknown",2025-11-24
"mvt_pedestrian","intentional","Unknown",2025-11-24
"mvt_pedestrian","legal","Unknown",2025-11-24
"mvt_pedestrian","undetermined","Unknown",2025-11-24
"mvt_pedestrian","unintentional","Unknown",2025-11-24
"mvt_unspecified","any","Unknown",2025-11-24
"mvt_unspecified","assault","Unknown",2025-11-24
"mvt_unspecified","intentional","Unknown",2025-11-24
"mvt_unspecified","legal","Unknown",2025-11-24
"mvt_unspecified","undetermined","Unknown",2025-11-24
"mvt_unspecified","unintentional","Unknown",2025-11-24
"natural_environmental","any","Unknown",2025-11-24
"natural_environmental","assault","Unknown",2025-11-24
"natural_environmental","intentional","Unknown",2025-11-24
"natural_environmental","legal","Unknown",2025-11-24
"natural_environmental","undetermined","Unknown",2025-11-24
"natural_environmental","unintentional","Unknown",2025-11-24
"other_land_transport","any","Unknown",2025-11-24
"other_land_transport","assault","Unknown",2025-11-24
"other_land_transport","intentional","Unknown",2025-11-24
"other_land_transport","legal","Unknown",2025-11-24
"other_land_transport","undetermined","Unknown",2025-11-24
"other_land_transport","unintentional","Unknown",2025-11-24
"other_specified","any","Unknown",2025-11-24
"other_specified","assault","Unknown",2025-11-24
"other_specified","intentional","Unknown",2025-11-24
"other_specified","legal","Unknown",2025-11-24
"other_specified","undetermined","Unknown",2025-11-24
"other_specified","unintentional","Unknown",2025-11-24
"other_transport","any","Unknown",2025-11-24
"other_transport","assault","Unknown",2025-11-24
"other_transport","intentional","Unknown",2025-11-24
"other_transport","legal","Unknown",2025-11-24
"other_transport","undetermined","Unknown",2025-11-24
"other_transport","unintentional","Unknown",2025-11-24
"overexertion","any","Unknown",2025-11-24
"overexertion","assault","Unknown",2025-11-24
"overexertion","intentional","Unknown",2025-11-24
"overexertion","legal","Unknown",2025-11-24
"overexertion","undetermined","Unknown",2025-11-24
"overexertion","unintentional","Unknown",2025-11-24
"pedal_cyclist","any","Unknown",2025-11-24
"pedal_cyclist","assault","Unknown",2025-11-24
"pedal_cyclist","intentional","Unknown",2025-11-24
"pedal_cyclist","legal","Unknown",2025-11-24
"pedal_cyclist","undetermined","Unknown",2025-11-24
"pedal_cyclist","unintentional","Unknown",2025-11-24
"pedestrian","any","Unknown",2025-11-24
"pedestrian","assault","Unknown",2025-11-24
"pedestrian","intentional","Unknown",2025-11-24
"pedestrian","legal","Unknown",2025-11-24
"pedestrian","undetermined","Unknown",2025-11-24
"pedestrian","unintentional","Unknown",2025-11-24
"poisoning","any","Unknown",2025-11-24
"poisoning","assault","Unknown",2025-11-24
"poisoning","intentional","Unknown",2025-11-24
"poisoning","legal","Unknown",2025-11-24
"poisoning","undetermined","Unknown",2025-11-24
"poisoning","unintentional","Unknown",2025-11-24
"poisoning_drug","any","Unknown",2025-11-24
"poisoning_drug","assault","Unknown",2025-11-24
"poisoning_drug","intentional","Unknown",2025-11-24
"poisoning_drug","legal","Unknown",2025-11-24
"poisoning_drug","undetermined","Unknown",2025-11-24
"poisoning_drug","unintentional","Unknown",2025-11-24
"poisoning_nondrug","any","Unknown",2025-11-24
"poisoning_nondrug","assault","Unknown",2025-11-24
"poisoning_nondrug","intentional","Unknown",2025-11-24
"poisoning_nondrug","legal","Unknown",2025-11-24
"poisoning_nondrug","undetermined","Unknown",2025-11-24
"poisoning_nondrug","unintentional","Unknown",2025-11-24
"struck_by_against","any","Unknown",2025-11-24
"struck_by_against","assault","Unknown",2025-11-24
"struck_by_against","intentional","Unknown",2025-11-24
"struck_by_against","legal","Unknown",2025-11-24
"struck_by_against","undetermined","Unknown",2025-11-24
"struck_by_against","unintentional","Unknown",2025-11-24
"suffocation","any","Unknown",2025-11-24
"suffocation","assault","Unknown",2025-11-24
"suffocation","intentional","Unknown",2025-11-24
"suffocation","legal","Unknown",2025-11-24
"suffocation","undetermined","Unknown",2025-11-24
"suffocation","unintentional","Unknown",2025-11-24
"unspecified","any","Unknown",2025-11-24
"unspecified","assault","Unknown",2025-11-24
"unspecified","intentional","Unknown",2025-11-24
"unspecified","legal","Unknown",2025-11-24
"unspecified","undetermined","Unknown",2025-11-24
"unspecified","unintentional","Unknown",2025-11-24
